"dept_CODE","municipality","year","Population_1993","victims__UR","cum_victims_UR","displaced_AS","cum_displaced_AS","displaced_CODHES","cum_displaced_CODHES","displaced_RUV","cum_displaced_RUV","displaced_CEDE","cum_displaced_CEDE","displaced_JYP","cum_displaced_JYP","number_dept","province","province_code","n_disp_0lead","n_disp_1lead","n_disp_2lead","n_viol_0lead","n_viol_1lead","n_viol_2lead","instance"
54,54673,2000,3479,4,4,0,5,0,0,0,10,5,5,0,0,"NORTE DE SANTAND","ORIENTAL",102,0,0,19,4,0,0,1
54,54874,1996,56517,2,2,0,0,0,0,2,2,0,0,0,0,"NORTE DE SANTAND","ORIENTAL",102,0,0,17,2,0,0,1
