Shp_Lng,Shap_Ar,ADM2_ES,ADM2_PC,ADM2_RE,ADM2ALT1,ADM2ALT2,ADM1_ES,ADM1_PC,ADM0_ES,ADM0_PC,date,validOn,validTo,X1,admn2Nm,N(mrgd),lat,lon,X7,X8,X9,X10,X11
1.15840529302,0.0413833265486,Abejorral,CO05002,,,,Antioquia,CO05,Colombia,CO,2018/01/01,2020/04/16,,"9",Abejorral,Abejorral,"5.789444444444444","-75.42805555555556",,,,,
2.23937592876,0.113362396146,Ábrego,CO54003,Ábrego,,,Norte de Santander,CO54,Colombia,CO,2018/01/01,2020/04/16,,,,,,,,,,,
0.810666961983,0.0242533145636,Abriaquí,CO05004,Abriaqui,,,Antioquia,CO05,Colombia,CO,2018/01/01,2020/04/16,,"10",Abriaquí,Abriaquí,"6.633333333333333","-76.06666666666666",,,,,
2.0742072068,0.091507447258,Acacías,CO50006,Acacias,,,Meta,CO50,Colombia,CO,2018/01/01,2020/04/16,,"742",Acacías,Acacías,"3.9877777777777776","-73.75972222222222",,,,,
1.81434926317,0.0652878489285,Acandí,CO27006,Acandi,,,Chocó,CO27,Colombia,CO,2018/01/01,2020/04/16,,"476",Acandí,Acandí,"8.533333333333333","-77.23333333333333",,,,,
1.16098760418,0.0438814882537,Acevedo,CO41006,,,,Huila,CO41,Colombia,CO,2018/01/01,2020/04/16,,"676","Acevedo, Huila",Acevedo,"1.81917","-75.8964",,,,,
1.83715118174,0.0781790503927,Achí,CO13006,Achi,,,Bolívar,CO13,Colombia,CO,2018/01/01,2020/04/16,,"182","Achí, Bolívar",Achí,"8.566666666666666","-74.55",,,,,
0.939701746581,0.0222368993314,Agrado,CO41013,,,,Huila,CO41,Colombia,CO,2018/01/01,2020/04/16,,"535",Agua de Dios,Agrado,"4.378055555555555","-74.6738888888889",,,,,
0.473254280345,0.00698506718137,Agua de Dios,CO25001,,,,Cundinamarca,CO25,Colombia,CO,2018/01/01,2020/04/16,,,,,,,,,,,
1.96504190989,0.0720235452057,Aguachica,CO20011,,,,Cesar,CO20,Colombia,CO,2018/01/01,2020/04/16,,"451",Aguachica,Aguachica,"8.316666666666666","-73.63333333333334",,,,,
0.475809748685,0.00614609334074,Aguada,CO68013,,,,Santander,CO68,Colombia,CO,2018/01/01,2020/04/16,,"913","Aguada, Santander",Aguada,"6.25","-73.46666666666667",,,,,
1.37425644723,0.0388068554395,Aguadas,CO17013,,,,Caldas,CO17,Colombia,CO,2018/01/01,2020/04/16,,"347","Aguadas, Caldas",Aguadas,"5.616666666666667","-75.46666666666667",,,,,
2.22429591697,0.117564769165,Aguazul,CO85010,,,,Casanare,CO85,Colombia,CO,2018/01/01,2020/04/16,,"390",Aguazul,Aguazul,"5.17306","-72.5547",,,,,
2.90706082204,0.144507220385,Agustín Codazzi,CO20013,Agustin Codazzi,,,Cesar,CO20,Colombia,CO,2018/01/01,2020/04/16,,"457","Agustín Codazzi, Cesar",Agustín Codazzi,"10.036666666666667","-73.23694444444445",,,,,
2.13939571457,0.0647076019177,Aipe,CO41016,,,,Huila,CO41,Colombia,CO,2018/01/01,2020/04/16,,"678",Aipe,Aipe,"3.216666666666667","-75.23333333333333",,,,,
0.516214238387,0.00414441103433,Albán,CO25019,Alban,,,Cundinamarca,CO25,Colombia,CO,2018/01/01,2020/04/16,,"771",Albán,Albán,"1.474444","-77.083611",,,,,
0.340269277018,0.00312912602829,Albán,CO52019,Alban,,,Nariño,CO52,Colombia,CO,2018/01/01,2020/04/16,,"536","Albán, Cundinamarca",Albán,"4.878333333333334","-74.43833333333333",,,,,
1.11282888758,0.0336175761395,Albania,CO18029,,,,Caquetá,CO18,Colombia,CO,2018/01/01,2020/04/16,,"374","Albania, Caquetá",Albania,"1.33167","-75.8822",,,,,
1.48541630983,0.045170601608,Albania,CO44035,,,,La Guajira,CO44,Colombia,CO,2018/01/01,2020/04/16,,"650","Albania, La Guajira",Albania,"11.1597","-72.5856",,,,,
0.876129926221,0.0135704660958,Albania,CO68020,,,,Santander,CO68,Colombia,CO,2018/01/01,2020/04/16,,"914","Albania, Santander",Albania,"5.76139","-73.9178",,,,,
0.489800416022,0.00507796460157,Alcalá,CO76020,Alcala,,,Valle del Cauca,CO76,Colombia,CO,2018/01/01,2020/04/16,,"1071","Alcalá, Valle del Cauca",Alcalá,"4.666666666666667","-75.75",,,,,
0.452036142852,0.00385532675216,Aldana,CO52022,,,,Nariño,CO52,Colombia,CO,2018/01/01,2020/04/16,,"772",Aldana,Aldana,"0.8833333333333333","-77.7",,,,,
0.705199540908,0.0105345265807,Alejandría,CO05021,Alejandria,,,Antioquia,CO05,Colombia,CO,2018/01/01,2020/04/16,,"11",Alejandría,Alejandría,"6.376944444444444","-75.14111111111112",,,,,
1.26568004945,0.033536940868,Algarrobo,CO47030,,,,Magdalena,CO47,Colombia,CO,2018/01/01,2020/04/16,,"712","Algarrobo, Magdalena",Algarrobo,"10.1","-74.2667",,,,,
1.26396791081,0.0479295456431,Algeciras,CO41020,,,,Huila,CO41,Colombia,CO,2018/01/01,2020/04/16,,"679","Algeciras, Huila",Algeciras,"2.533333333333333","-75.31666666666666",,,,,
0.710253014926,0.0191965652156,Almaguer,CO19022,,,,Cauca,CO19,Colombia,CO,2018/01/01,2020/04/16,,"409","Almaguer, Cauca",Almaguer,"1.9166666666666665","-76.86666666666666",,,,,
0.348469204484,0.00470175865914,Almeida,CO15022,,,,Boyacá,CO15,Colombia,CO,2018/01/01,2020/04/16,,"224","Almeida, Boyacá",Almeida,"4.966666666666667","-73.38333333333334",,,,,
