,admin2Name,Name (merged),ADM2_PCODE,lat,lon,,,,,,,
480,Bahía Solano,Bahía Solano,CO27075,6.216666666666667,-77.4,,,,,,,
481,Bajo Baudó,Bajo Baudó,CO27077,4.95,-77.36666666666666,,,,,,,
411,"Balboa, Cauca",Balboa,CO19075,2.043611111111111,-77.21972222222223,,,,,,,
899,"Balboa, Risaralda",Balboa,CO66075,4.9166694444444445,-75.95,,,,,,,
140,Baranoa,Baranoa,CO08078,10.8,-74.91666666666667,,,,,,,
681,Baraya,Baraya,CO41078,3.1530555555555555,-75.0525,,,,,,,
775,"Barbacoas, Nariño",Barbacoas,CO52079,1.6716666666666664,-78.13972222222223,,,,,,,
23,"Barbosa, Antioquia",Barbosa,CO05079,6.439,-75.333,,,,,,,
916,"Barbosa, Santander",Barbosa,CO68077,5.933,-73.621,,,,,,,
917,Barichara,Barichara,CO68079,6.633333333333333,-73.23333333333333,,,,,,,
743,Barranca de Upía,Barranca de Upía,CO50110,4.583333333333333,-72.96666666666667,,,,,,,
918,Barrancabermeja,Barrancabermeja,CO68081,7.066666666666666,-73.85,,,,,,,
651,"Barrancas, La Guajira",Barrancas,CO44078,11,-72.75,,,,,,,
185,Barranco de Loba,Barranco de Loba,CO13074,8.95,-74.11666666666666,,,,,,,
665,Barranco Minas,Barrancominas,CO94343,3.483333,-69.8,,,,,,,
141,Barranquilla,Barranquilla,CO08001,10.963888888888889,-74.79638888888888,,,,,,,
163,Barrios Unidos,Barrios Unidos,NA,4.6786111111111115,-74.0786111111111,,,,,,,
453,Becerril,Becerril,CO20045,9.7,-73.28333333333333,,,,,,,
350,"Belalcázar, Caldas",Belalcázar,CO17088,5,-75.81666666666666,,,,,,,
375,Belén de Andaquies,Belén,CO15087,1.41611,-75.8725,,,,,,,
900,Belén de Umbría,Belén,CO52083,5.2,-75.86666666666666,,,,,,,
227,"Belén, Boyacá",Belén de los Andaquíes,CO18094,6.083333333333333,-72.91666666666667,,,,,,,
776,"Belén, Nariño",Belén de Umbría,CO66088,1.66417,-77.0175,,,,,,,
24,"Bello, Antioquia",Bello,CO05088,6.333333333333333,-75.56666666666666,,,,,,,
25,Belmira,Belmira,CO05086,6.6,-75.66666666666667,,,,,,,
541,"Beltrán, Cundinamarca",Beltrán,CO25086,4.801388888888889,-74.74305555555556,,,,,,,
228,Berbeo,Berbeo,CO15090,5.226666666666667,-73.12666666666667,,,,,,,
26,"Betania, Antioquia",Betania,CO05091,5.75,-75.96666666666667,,,,,,,
229,Betéitiva,Betéitiva,CO15092,5.916666666666667,-72.81666666666666,,,,,,,
27,"Betulia, Antioquia",Betulia,CO05093,6.112222,-75.983889,,,,,,,
