OBJECTID *,Shape *,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area,,,,,,,,,,,,,,,,,,,,,,,,,
128,Polygon,Buesaco,CO52110,<Null>,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,1.229231,0.051533,,,,,,,,,,,,,,,,,,,,,,,,,
129,Polygon,Bugalagrande,CO76113,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,1.033606,0.032279,,,,,,,,,,,,,,,,,,,,,,,,,
130,Polygon,Buriticá,CO05113,Buritica,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.963723,0.029028,,,,,,,,,,,,,,,,,,,,,,,,,
131,Polygon,Busbanzá,CO15114,Busbanza,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.204498,0.002069,,,,,,,,,,,,,,,,,,,,,,,,,
132,Polygon,Cabrera,CO25120,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,1.018805,0.034347,,,,,,,,,,,,,,,,,,,,,,,,,
133,Polygon,Cabrera,CO68121,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.351571,0.00536,,,,,,,,,,,,,,,,,,,,,,,,,
134,Polygon,Cabuyaro,CO50124,<Null>,<Null>,<Null>,Meta,CO50,Colombia,CO,1/1/18,4/16/20,<Null>,2.008848,0.074403,,,,,,,,,,,,,,,,,,,,,,,,,
135,Polygon,Cacahual,CO94886,<Null>,<Null>,<Null>,Guainía,CO94,Colombia,CO,1/1/18,4/16/20,<Null>,2.364174,0.187609,,,,,,,,,,,,,,,,,,,,,,,,,
136,Polygon,Cáceres,CO05120,Caceres,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,2.933364,0.153504,,,,,,,,,,,,,,,,,,,,,,,,,
137,Polygon,Cachipay,CO25123,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.42111,0.004357,,,,,,,,,,,,,,,,,,,,,,,,,
138,Polygon,Cáchira,CO54128,Cachira,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,1.656029,0.050457,,,,,,,,,,,,,,,,,,,,,,,,,
139,Polygon,Cácota,CO54125,Cacota,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,0.556125,0.011368,,,,,,,,,,,,,,,,,,,,,,,,,
140,Polygon,Caicedo,CO05125,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.645523,0.016341,,,,,,,,,,,,,,,,,,,,,,,,,
141,Polygon,Caicedonia,CO76122,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,0.64659,0.01359,,,,,,,,,,,,,,,,,,,,,,,,,
142,Polygon,Caimito,CO70124,<Null>,<Null>,<Null>,Sucre,CO70,Colombia,CO,1/1/18,4/16/20,<Null>,1.17949,0.033886,,,,,,,,,,,,,,,,,,,,,,,,,
143,Polygon,Cajamarca,CO73124,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.029368,0.041404,,,,,,,,,,,,,,,,,,,,,,,,,
144,Polygon,Cajibío,CO19130,Cajibio,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,1.381885,0.044819,,,,,,,,,,,,,,,,,,,,,,,,,
145,Polygon,Cajicá,CO25126,Cajica,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.413474,0.004181,,,,,,,,,,,,,,,,,,,,,,,,,
146,Polygon,Calamar,CO13140,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,1.292152,0.021065,,,,,,,,,,,,,,,,,,,,,,,,,
147,Polygon,Calamar,CO95015,<Null>,<Null>,<Null>,Guaviare,CO95,Colombia,CO,1/1/18,4/16/20,<Null>,7.429453,1.101372,,,,,,,,,,,,,,,,,,,,,,,,,
148,Polygon,Calarcá,CO63130,Calarca,<Null>,<Null>,Quindio,CO63,Colombia,CO,1/1/18,4/16/20,<Null>,0.927665,0.01798,,,,,,,,,,,,,,,,,,,,,,,,,
149,Polygon,Caldas,CO05129,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.529328,0.010836,,,,,,,,,,,,,,,,,,,,,,,,,
150,Polygon,Caldas,CO15131,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.402175,0.006445,,,,,,,,,,,,,,,,,,,,,,,,,
151,Polygon,Caldono,CO19137,<Null>,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,1.102961,0.028803,,,,,,,,,,,,,,,,,,,,,,,,,
152,Polygon,Cali,CO76001,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,1.164411,0.045733,,,,,,,,,,,,,,,,,,,,,,,,,
153,Polygon,California,CO68132,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.425946,0.003685,,,,,,,,,,,,,,,,,,,,,,,,,
154,Polygon,Calima,CO76126,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,1.544198,0.064485,,,,,,,,,,,,,,,,,,,,,,,,,
155,Polygon,Caloto,CO19142,<Null>,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,1.362437,0.021651,,,,,,,,,,,,,,,,,,,,,,,,,
156,Polygon,Campamento,CO05134,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.90156,0.01688,,,,,,,,,,,,,,,,,,,,,,,,,
157,Polygon,Campo de la Cruz,CO08137,<Null>,<Null>,<Null>,Atlántico,CO08,Colombia,CO,1/1/18,4/16/20,<Null>,0.653301,0.008254,,,,,,,,,,,,,,,,,,,,,,,,,
158,Polygon,Campoalegre,CO41132,<Null>,<Null>,<Null>,Huila,CO41,Colombia,CO,1/1/18,4/16/20,<Null>,1.058187,0.03762,,,,,,,,,,,,,,,,,,,,,,,,,
159,Polygon,Campohermoso,CO15135,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.896146,0.024353,,,,,,,,,,,,,,,,,,,,,,,,,
160,Polygon,Canalete,CO23090,<Null>,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,1.304351,0.034465,,,,,,,,,,,,,,,,,,,,,,,,,
161,Polygon,Cañasgordas,CO05138,Canasgordas,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.061945,0.02981,,,,,,,,,,,,,,,,,,,,,,,,,
162,Polygon,Candelaria,CO08141,<Null>,<Null>,<Null>,Atlántico,CO08,Colombia,CO,1/1/18,4/16/20,<Null>,0.572124,0.01121,,,,,,,,,,,,,,,,,,,,,,,,,
163,Polygon,Candelaria,CO76130,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,0.870994,0.024087,,,,,,,,,,,,,,,,,,,,,,,,,
164,Polygon,Cantagallo,CO13160,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,1.704584,0.072172,,,,,,,,,,,,,,,,,,,,,,,,,
165,Polygon,Caparrapí,CO25148,Caparrapi,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,1.171795,0.05023,,,,,,,,,,,,,,,,,,,,,,,,,
166,Polygon,Capitanejo,CO68147,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.47719,0.006968,,,,,,,,,,,,,,,,,,,,,,,,,
167,Polygon,Cáqueza,CO25151,Caqueza,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.5799,0.009085,,,,,,,,,,,,,,,,,,,,,,,,,
168,Polygon,Caracolí,CO05142,Caracoli,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.014785,0.021475,,,,,,,,,,,,,,,,,,,,,,,,,
169,Polygon,Caramanta,CO05145,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.500041,0.007508,,,,,,,,,,,,,,,,,,,,,,,,,
170,Polygon,Carcasí,CO68152,Carcasi,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.710159,0.021162,,,,,,,,,,,,,,,,,,,,,,,,,
171,Polygon,Carepa,CO05147,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.309941,0.031684,,,,,,,,,,,,,,,,,,,,,,,,,
172,Polygon,Carmen de Apicalá,CO73148,Carmen de Apicala,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,0.73393,0.015541,,,,,,,,,,,,,,,,,,,,,,,,,
173,Polygon,Carmen de Carupa,CO25154,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.943873,0.024357,,,,,,,,,,,,,,,,,,,,,,,,,
174,Polygon,Carmen del Darién,CO27150,Carmen del Darien,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,3.475196,0.259647,,,,,,,,,,,,,,,,,,,,,,,,,
175,Polygon,Carolina,CO05150,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.580841,0.012229,,,,,,,,,,,,,,,,,,,,,,,,,
176,Polygon,Cartagena de Indias,CO13001,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,4.239567,0.049325,,,,,,,,,,,,,,,,,,,,,,,,,
177,Polygon,Cartagena del Chairá,CO18150,Cartagena del Chaira,<Null>,<Null>,Caquetá,CO18,Colombia,CO,1/1/18,4/16/20,<Null>,9.668441,1.038727,,,,,,,,,,,,,,,,,,,,,,,,,
178,Polygon,Cartago,CO76147,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,0.895558,0.020211,,,,,,,,,,,,,,,,,,,,,,,,,
179,Polygon,Carurú,CO97161,Caruru,<Null>,<Null>,Vaupés,CO97,Colombia,CO,1/1/18,4/16/20,<Null>,4.618318,0.516272,,,,,,,,,,,,,,,,,,,,,,,,,
180,Polygon,Casabianca,CO73152,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.070723,0.014289,,,,,,,,,,,,,,,,,,,,,,,,,
181,Polygon,Castilla la Nueva,CO50150,<Null>,<Null>,<Null>,Meta,CO50,Colombia,CO,1/1/18,4/16/20,<Null>,1.349329,0.0419,,,,,,,,,,,,,,,,,,,,,,,,,
182,Polygon,Caucasia,CO05154,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,3.028424,0.117145,,,,,,,,,,,,,,,,,,,,,,,,,
183,Polygon,Cepitá,CO68160,Cepita,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.494627,0.008827,,,,,,,,,,,,,,,,,,,,,,,,,
184,Polygon,Cereté,CO23162,Cerete,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,1.494624,0.023886,,,,,,,,,,,,,,,,,,,,,,,,,
185,Polygon,Cerinza,CO15162,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.334001,0.005191,,,,,,,,,,,,,,,,,,,,,,,,,
186,Polygon,Cerrito,CO68162,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.971672,0.034431,,,,,,,,,,,,,,,,,,,,,,,,,
187,Polygon,Cerro de San Antonio,CO47161,<Null>,<Null>,<Null>,Magdalena,CO47,Colombia,CO,1/1/18,4/16/20,<Null>,0.700347,0.014622,,,,,,,,,,,,,,,,,,,,,,,,,
188,Polygon,Cértegui,CO27160,Certegui,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,1.505567,0.03448,,,,,,,,,,,,,,,,,,,,,,,,,
189,Polygon,Chachagüí,CO52240,Chachagui,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.737328,0.01185,,,,,,,,,,,,,,,,,,,,,,,,,
190,Polygon,Chaguaní,CO25168,Chaguani,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.654526,0.014025,,,,,,,,,,,,,,,,,,,,,,,,,
191,Polygon,Chalán,CO70230,Chalan,<Null>,<Null>,Sucre,CO70,Colombia,CO,1/1/18,4/16/20,<Null>,0.572024,0.006891,,,,,,,,,,,,,,,,,,,,,,,,,
192,Polygon,Chámeza,CO85015,Chameza,<Null>,<Null>,Casanare,CO85,Colombia,CO,1/1/18,4/16/20,<Null>,1.067848,0.025564,,,,,,,,,,,,,,,,,,,,,,,,,
193,Polygon,Chaparral,CO73168,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,2.579272,0.171009,,,,,,,,,,,,,,,,,,,,,,,,,
194,Polygon,Charalá,CO68167,Charala,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,1.682796,0.034245,,,,,,,,,,,,,,,,,,,,,,,,,
195,Polygon,Charta,CO68169,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.600093,0.010371,,,,,,,,,,,,,,,,,,,,,,,,,
196,Polygon,Chía,CO25175,Chia,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.509914,0.006535,,,,,,,,,,,,,,,,,,,,,,,,,
197,Polygon,Chigorodó,CO05172,Chigorodo,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.610386,0.059023,,,,,,,,,,,,,,,,,,,,,,,,,
198,Polygon,Chima,CO68176,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.631116,0.014156,,,,,,,,,,,,,,,,,,,,,,,,,
199,Polygon,Chimá,CO23168,Chima,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,0.918979,0.02663,,,,,,,,,,,,,,,,,,,,,,,,,
200,Polygon,Chimichagua,CO20175,<Null>,<Null>,<Null>,Cesar,CO20,Colombia,CO,1/1/18,4/16/20,<Null>,2.473946,0.113242,,,,,,,,,,,,,,,,,,,,,,,,,
201,Polygon,Chinácota,CO54172,Chinacota,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,0.757339,0.013613,,,,,,,,,,,,,,,,,,,,,,,,,
202,Polygon,Chinavita,CO15172,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.526596,0.011122,,,,,,,,,,,,,,,,,,,,,,,,,
203,Polygon,Chinchiná,CO17174,Chinchina,<Null>,<Null>,Caldas,CO17,Colombia,CO,1/1/18,4/16/20,<Null>,0.794882,0.008912,,,,,,,,,,,,,,,,,,,,,,,,,
204,Polygon,Chinú,CO23182,Chinu,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,1.726085,0.051468,,,,,,,,,,,,,,,,,,,,,,,,,
205,Polygon,Chipaque,CO25178,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.729765,0.012266,,,,,,,,,,,,,,,,,,,,,,,,,
206,Polygon,Chipatá,CO68179,Chipata,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.465601,0.007755,,,,,,,,,,,,,,,,,,,,,,,,,
207,Polygon,Chiquinquirá,CO15176,Chiquinquira,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.864128,0.013469,,,,,,,,,,,,,,,,,,,,,,,,,
208,Polygon,Chíquiza,CO15232,Chiquiza,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.5079,0.009509,,,,,,,,,,,,,,,,,,,,,,,,,
209,Polygon,Chiriguaná,CO20178,Chiriguana,<Null>,<Null>,Cesar,CO20,Colombia,CO,1/1/18,4/16/20,<Null>,2.487206,0.09174,,,,,,,,,,,,,,,,,,,,,,,,,
210,Polygon,Chiscas,CO15180,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,1.264652,0.053835,,,,,,,,,,,,,,,,,,,,,,,,,
211,Polygon,Chita,CO15183,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,1.364847,0.05529,,,,,,,,,,,,,,,,,,,,,,,,,
212,Polygon,Chitagá,CO54174,Chitaga,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,1.928305,0.096928,,,,,,,,,,,,,,,,,,,,,,,,,
213,Polygon,Chitaraque,CO15185,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.579277,0.012947,,,,,,,,,,,,,,,,,,,,,,,,,
214,Polygon,Chivatá,CO15187,Chivata,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.425267,0.004042,,,,,,,,,,,,,,,,,,,,,,,,,
215,Polygon,Chivolo,CO47170,<Null>,<Null>,<Null>,Magdalena,CO47,Colombia,CO,1/1/18,4/16/20,<Null>,1.326373,0.044254,,,,,,,,,,,,,,,,,,,,,,,,,
216,Polygon,Chivor,CO15236,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.56687,0.008859,,,,,,,,,,,,,,,,,,,,,,,,,
217,Polygon,Choachí,CO25181,Choachi,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.752165,0.017311,,,,,,,,,,,,,,,,,,,,,,,,,
218,Polygon,Chocontá,CO25183,Choconta,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,1.037321,0.024482,,,,,,,,,,,,,,,,,,,,,,,,,
219,Polygon,Cicuco,CO13188,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,0.517303,0.010957,,,,,,,,,,,,,,,,,,,,,,,,,
220,Polygon,Ciénaga,CO47189,Cienaga,<Null>,<Null>,Magdalena,CO47,Colombia,CO,1/1/18,4/16/20,<Null>,2.709227,0.109547,,,,,,,,,,,,,,,,,,,,,,,,,
221,Polygon,Ciénaga de Oro,CO23189,Cienaga de Oro,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,1.978304,0.052668,,,,,,,,,,,,,,,,,,,,,,,,,
222,Polygon,Ciénega,CO15189,Cienega,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.385304,0.004405,,,,,,,,,,,,,,,,,,,,,,,,,
223,Polygon,Cimitarra,CO68190,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,3.130297,0.259459,,,,,,,,,,,,,,,,,,,,,,,,,
224,Polygon,Circasia,CO63190,<Null>,<Null>,<Null>,Quindio,CO63,Colombia,CO,1/1/18,4/16/20,<Null>,0.62002,0.007355,,,,,,,,,,,,,,,,,,,,,,,,,
225,Polygon,Cisneros,CO05190,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.387465,0.003836,,,,,,,,,,,,,,,,,,,,,,,,,
226,Polygon,Ciudad Bolívar,CO05101,Ciudad Bolivar,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.708504,0.021242,,,,,,,,,,,,,,,,,,,,,,,,,
227,Polygon,Clemencia,CO13222,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,0.699898,0.007049,,,,,,,,,,,,,,,,,,,,,,,,,
228,Polygon,Cocorná,CO05197,Cocorna,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.120301,0.01974,,,,,,,,,,,,,,,,,,,,,,,,,
229,Polygon,Coello,CO73200,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.221788,0.027987,,,,,,,,,,,,,,,,,,,,,,,,,
230,Polygon,Cogua,CO25200,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.683154,0.010837,,,,,,,,,,,,,,,,,,,,,,,,,
231,Polygon,Colombia,CO41206,<Null>,<Null>,<Null>,Huila,CO41,Colombia,CO,1/1/18,4/16/20,<Null>,2.344524,0.128978,,,,,,,,,,,,,,,,,,,,,,,,,
232,Polygon,Colón,CO52203,Colon,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.459287,0.005005,,,,,,,,,,,,,,,,,,,,,,,,,
233,Polygon,Colón,CO86219,Colon,<Null>,<Null>,Putumayo,CO86,Colombia,CO,1/1/18,4/16/20,<Null>,0.454886,0.00521,,,,,,,,,,,,,,,,,,,,,,,,,
234,Polygon,Colosó,CO70204,Coloso,<Null>,<Null>,Sucre,CO70,Colombia,CO,1/1/18,4/16/20,<Null>,0.788268,0.010796,,,,,,,,,,,,,,,,,,,,,,,,,
235,Polygon,Cómbita,CO15204,Combita,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.73445,0.011857,,,,,,,,,,,,,,,,,,,,,,,,,
236,Polygon,Concepción,CO05206,Concepcion,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.715056,0.016508,,,,,,,,,,,,,,,,,,,,,,,,,
237,Polygon,Concepción,CO68207,Concepcion,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,1.136217,0.027558,,,,,,,,,,,,,,,,,,,,,,,,,
238,Polygon,Concordia,CO05209,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.749955,0.020228,,,,,,,,,,,,,,,,,,,,,,,,,
239,Polygon,Concordia,CO47205,<Null>,<Null>,<Null>,Magdalena,CO47,Colombia,CO,1/1/18,4/16/20,<Null>,0.544326,0.009033,,,,,,,,,,,,,,,,,,,,,,,,,
240,Polygon,Condoto,CO27205,<Null>,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,1.544238,0.038074,,,,,,,,,,,,,,,,,,,,,,,,,
241,Polygon,Confines,CO68209,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.394072,0.005836,,,,,,,,,,,,,,,,,,,,,,,,,
242,Polygon,Consacá,CO52207,Consaca,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.465047,0.009665,,,,,,,,,,,,,,,,,,,,,,,,,
243,Polygon,Contadero,CO52210,<Null>,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.327929,0.003498,,,,,,,,,,,,,,,,,,,,,,,,,
244,Polygon,Contratación,CO68211,Contratacion,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.687198,0.011209,,,,,,,,,,,,,,,,,,,,,,,,,
245,Polygon,Convención,CO54206,Convencion,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,2.912857,0.076585,,,,,,,,,,,,,,,,,,,,,,,,,
246,Polygon,Copacabana,CO05212,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.513073,0.005535,,,,,,,,,,,,,,,,,,,,,,,,,
247,Polygon,Coper,CO15212,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.639954,0.012229,,,,,,,,,,,,,,,,,,,,,,,,,
248,Polygon,Córdoba,CO13212,Cordoba,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,1.205939,0.049179,,,,,,,,,,,,,,,,,,,,,,,,,
249,Polygon,Córdoba,CO52215,Cordoba,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,1.17242,0.024669,,,,,,,,,,,,,,,,,,,,,,,,,
250,Polygon,Córdoba,CO63212,Cordoba,<Null>,<Null>,Quindio,CO63,Colombia,CO,1/1/18,4/16/20,<Null>,0.451279,0.007569,,,,,,,,,,,,,,,,,,,,,,,,,
251,Polygon,Corinto,CO19212,<Null>,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,0.827656,0.026479,,,,,,,,,,,,,,,,,,,,,,,,,
252,Polygon,Coromoro,CO68217,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,1.116796,0.047171,,,,,,,,,,,,,,,,,,,,,,,,,
253,Polygon,Corozal,CO70215,<Null>,<Null>,<Null>,Sucre,CO70,Colombia,CO,1/1/18,4/16/20,<Null>,1.436334,0.023512,,,,,,,,,,,,,,,,,,,,,,,,,
254,Polygon,Corrales,CO15215,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.409898,0.004966,,,,,,,,,,,,,,,,,,,,,,,,,
255,Polygon,Cota,CO25214,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.519517,0.004376,,,,,,,,,,,,,,,,,,,,,,,,,
256,Polygon,Cotorra,CO23300,<Null>,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,0.607567,0.007253,,,,,,,,,,,,,,,,,,,,,,,,,
257,Polygon,Covarachía,CO15218,Covarachia,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.487025,0.00837,,,,,,,,,,,,,,,,,,,,,,,,,
258,Polygon,Coveñas,CO70221,Covenas,<Null>,<Null>,Sucre,CO70,Colombia,CO,1/1/18,4/16/20,<Null>,0.426884,0.004652,,,,,,,,,,,,,,,,,,,,,,,,,
259,Polygon,Coyaima,CO73217,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.458271,0.054448,,,,,,,,,,,,,,,,,,,,,,,,,
260,Polygon,Cravo Norte,CO81220,<Null>,<Null>,<Null>,Arauca,CO81,Colombia,CO,1/1/18,4/16/20,<Null>,3.963937,0.423933,,,,,,,,,,,,,,,,,,,,,,,,,
261,Polygon,Cuaspud Carlosama,CO52224,<Null>,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.422178,0.004622,,,,,,,,,,,,,,,,,,,,,,,,,
