OBJECTID *,Shape *,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area,,,,,,,,,,,,,,,,,,,,,,,,,
30,Polygon,Alto Baudó,CO27025,Alto Baudo,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,3.351029,0.166907,,,,,,,,,,,,,,,,,,,,,,,,,
31,Polygon,Altos del Rosario,CO13030,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,0.984983,0.02496,,,,,,,,,,,,,,,,,,,,,,,,,
32,Polygon,Alvarado,CO73026,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.069589,0.028054,,,,,,,,,,,,,,,,,,,,,,,,,
33,Polygon,Amagá,CO05030,Amaga,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.445533,0.006867,,,,,,,,,,,,,,,,,,,,,,,,,
34,Polygon,Amalfi,CO05031,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,2.019528,0.09892,,,,,,,,,,,,,,,,,,,,,,,,,
35,Polygon,Ambalema,CO73030,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.00915,0.019403,,,,,,,,,,,,,,,,,,,,,,,,,
36,Polygon,Anapoima,CO25035,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.670557,0.010101,,,,,,,,,,,,,,,,,,,,,,,,,
37,Polygon,Ancuya,CO52036,<Null>,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.373698,0.005579,,,,,,,,,,,,,,,,,,,,,,,,,
38,Polygon,Andalucía,CO76036,Andalucia,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,0.6651,0.008985,,,,,,,,,,,,,,,,,,,,,,,,,
39,Polygon,Andes,CO05034,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.146285,0.03282,,,,,,,,,,,,,,,,,,,,,,,,,
40,Polygon,Angelópolis,CO05036,Angelopolis,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.427496,0.006683,,,,,,,,,,,,,,,,,,,,,,,,,
41,Polygon,Angostura,CO05038,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.919162,0.027693,,,,,,,,,,,,,,,,,,,,,,,,,
42,Polygon,Anolaima,CO25040,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.52804,0.009859,,,,,,,,,,,,,,,,,,,,,,,,,
43,Polygon,Anorí,CO05040,Anori,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.848261,0.115706,,,,,,,,,,,,,,,,,,,,,,,,,
44,Polygon,Anserma,CO17042,<Null>,<Null>,<Null>,Caldas,CO17,Colombia,CO,1/1/18,4/16/20,<Null>,0.913573,0.017045,,,,,,,,,,,,,,,,,,,,,,,,,
45,Polygon,Ansermanuevo,CO76041,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,0.946044,0.024871,,,,,,,,,,,,,,,,,,,,,,,,,
46,Polygon,Anzá,CO05044,Anza,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.746835,0.020893,,,,,,,,,,,,,,,,,,,,,,,,,
47,Polygon,Anzoátegui,CO73043,Anzoategui,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.310177,0.038267,,,,,,,,,,,,,,,,,,,,,,,,,
48,Polygon,Apartadó,CO05045,Apartado,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.287652,0.043801,,,,,,,,,,,,,,,,,,,,,,,,,
49,Polygon,Apía,CO66045,Apia,<Null>,<Null>,Risaralda,CO66,Colombia,CO,1/1/18,4/16/20,<Null>,0.739073,0.012219,,,,,,,,,,,,,,,,,,,,,,,,,
50,Polygon,Apulo,CO25599,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.715255,0.00994,,,,,,,,,,,,,,,,,,,,,,,,,
51,Polygon,Aquitania,CO15047,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,1.800311,0.076844,,,,,,,,,,,,,,,,,,,,,,,,,
52,Polygon,Aracataca,CO47053,<Null>,<Null>,<Null>,Magdalena,CO47,Colombia,CO,1/1/18,4/16/20,<Null>,2.643381,0.143835,,,,,,,,,,,,,,,,,,,,,,,,,
53,Polygon,Aranzazu,CO17050,<Null>,<Null>,<Null>,Caldas,CO17,Colombia,CO,1/1/18,4/16/20,<Null>,0.701567,0.012195,,,,,,,,,,,,,,,,,,,,,,,,,
54,Polygon,Aratoca,CO68051,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.674692,0.013882,,,,,,,,,,,,,,,,,,,,,,,,,
55,Polygon,Arauca,CO81001,<Null>,<Null>,<Null>,Arauca,CO81,Colombia,CO,1/1/18,4/16/20,<Null>,4.668016,0.471626,,,,,,,,,,,,,,,,,,,,,,,,,
56,Polygon,Arauquita,CO81065,<Null>,<Null>,<Null>,Arauca,CO81,Colombia,CO,1/1/18,4/16/20,<Null>,3.258765,0.248647,,,,,,,,,,,,,,,,,,,,,,,,,
57,Polygon,Arbeláez,CO25053,Arbelaez,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.806542,0.011604,,,,,,,,,,,,,,,,,,,,,,,,,
58,Polygon,Arboleda,CO52051,<Null>,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.375406,0.004877,,,,,,,,,,,,,,,,,,,,,,,,,
59,Polygon,Arboledas,CO54051,<Null>,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,1.161194,0.037362,,,,,,,,,,,,,,,,,,,,,,,,,
60,Polygon,Arboletes,CO05051,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.858453,0.061855,,,,,,,,,,,,,,,,,,,,,,,,,
61,Polygon,Arcabuco,CO15051,<Null>,<Null>,<Null>,Boyacá,CO15,Colombia,CO,1/1/18,4/16/20,<Null>,0.752709,0.011257,,,,,,,,,,,,,,,,,,,,,,,,,
62,Polygon,Arenal,CO13042,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,1.554842,0.037918,,,,,,,,,,,,,,,,,,,,,,,,,
63,Polygon,Argelia,CO05055,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.062338,0.020022,,,,,,,,,,,,,,,,,,,,,,,,,
64,Polygon,Argelia,CO19050,<Null>,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,1.224153,0.062881,,,,,,,,,,,,,,,,,,,,,,,,,
65,Polygon,Argelia,CO76054,<Null>,<Null>,<Null>,Valle del Cauca,CO76,Colombia,CO,1/1/18,4/16/20,<Null>,0.453826,0.007391,,,,,,,,,,,,,,,,,,,,,,,,,
66,Polygon,Ariguaní,CO47058,Ariguani,<Null>,<Null>,Magdalena,CO47,Colombia,CO,1/1/18,4/16/20,<Null>,1.992881,0.093278,,,,,,,,,,,,,,,,,,,,,,,,,
67,Polygon,Arjona,CO13052,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,1.358225,0.048617,,,,,,,,,,,,,,,,,,,,,,,,,
68,Polygon,Armenia,CO05059,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.502777,0.009014,,,,,,,,,,,,,,,,,,,,,,,,,
69,Polygon,Armenia,CO63001,<Null>,<Null>,<Null>,Quindio,CO63,Colombia,CO,1/1/18,4/16/20,<Null>,0.906602,0.009902,,,,,,,,,,,,,,,,,,,,,,,,,
70,Polygon,Armero,CO73055,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,1.4441,0.035924,,,,,,,,,,,,,,,,,,,,,,,,,
71,Polygon,Arroyohondo,CO13062,<Null>,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,0.783312,0.013514,,,,,,,,,,,,,,,,,,,,,,,,,
72,Polygon,Astrea,CO20032,<Null>,<Null>,<Null>,Cesar,CO20,Colombia,CO,1/1/18,4/16/20,<Null>,1.335874,0.052526,,,,,,,,,,,,,,,,,,,,,,,,,
73,Polygon,Ataco,CO73067,<Null>,<Null>,<Null>,Tolima,CO73,Colombia,CO,1/1/18,4/16/20,<Null>,2.25281,0.082768,,,,,,,,,,,,,,,,,,,,,,,,,
74,Polygon,Atrato,CO27050,<Null>,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,1.351263,0.034339,,,,,,,,,,,,,,,,,,,,,,,,,
75,Polygon,Ayapel,CO23068,<Null>,<Null>,<Null>,Córdoba,CO23,Colombia,CO,1/1/18,4/16/20,<Null>,2.409679,0.16121,,,,,,,,,,,,,,,,,,,,,,,,,
76,Polygon,Bagadó,CO27073,Bagado,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,1.470993,0.065804,,,,,,,,,,,,,,,,,,,,,,,,,
77,Polygon,Bahía Solano,CO27075,Bahia Solano,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,3.361146,0.072926,,,,,,,,,,,,,,,,,,,,,,,,,
78,Polygon,Bajo Baudó,CO27077,Bajo Baudo,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,5.960852,0.282866,,,,,,,,,,,,,,,,,,,,,,,,,
79,Polygon,Balboa,CO19075,<Null>,<Null>,<Null>,Cauca,CO19,Colombia,CO,1/1/18,4/16/20,<Null>,1.016327,0.03349,,,,,,,,,,,,,,,,,,,,,,,,,
80,Polygon,Balboa,CO66075,<Null>,<Null>,<Null>,Risaralda,CO66,Colombia,CO,1/1/18,4/16/20,<Null>,0.519541,0.009732,,,,,,,,,,,,,,,,,,,,,,,,,
